"Stage","Session Number","Session Heading (Topic)","Slide Number","Slide Title","Slide Bullet Point"
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","13","VLAN Basics","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","13","VLAN Basics","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Switch Port Configuration & VLANs."
"","13","VLAN Basics","5","PoE Standards & Power Budgeting","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for PoE Standards & Power Budgeting."
"","13","VLAN Basics","6","Fiber Optic Cabling & Media Converters","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fiber Optic Cabling & Media Converters."
"","13","VLAN Basics","7","Router Gateways, WAN, and NAT Mappings","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Router Gateways, WAN, and NAT Mappings."
"","13","VLAN Basics","8","IP conflicts & Loop Protection","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP conflicts & Loop Protection."
"","13","VLAN Basics","9","Diagnostic Tools: Ping, Traceroute & Scans","Analyze core parameters and hardware metrics for VLAN Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","13","VLAN Basics","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","14","PoE & PoE Switches","1","Title Slide - PoE & PoE Switches","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - PoE & PoE Switches."
"","14","PoE & PoE Switches","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","14","PoE & PoE Switches","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","14","PoE & PoE Switches","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Switch Port Configuration & VLANs."
"","14","PoE & PoE Switches","5","PoE Standards & Power Budgeting","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for PoE Standards & Power Budgeting."
"","14","PoE & PoE Switches","6","Fiber Optic Cabling & Media Converters","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Fiber Optic Cabling & Media Converters."
"","14","PoE & PoE Switches","7","Router Gateways, WAN, and NAT Mappings","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Router Gateways, WAN, and NAT Mappings."
"","14","PoE & PoE Switches","8","IP conflicts & Loop Protection","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP conflicts & Loop Protection."
"","14","PoE & PoE Switches","9","Diagnostic Tools: Ping, Traceroute & Scans","Analyze core parameters and hardware metrics for PoE & PoE Switches."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Diagnostic Tools: Ping, Traceroute & Scans."
"","14","PoE & PoE Switches","10","Practical Lab: Managed Switch Configuration","Hands-on assembly of device terminals on demonstration boards."
"","","","","","Measuring and record voltage, current, or signal logs."
"","","","","","Commissioning system parameters and verify client handover checklist."
"","15","Fiber Optic Basics","1","Title Slide - Fiber Optic Basics","Analyze core parameters and hardware metrics for Fiber Optic Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Title Slide - Fiber Optic Basics."
"","15","Fiber Optic Basics","2","Network Topologies & Layer Models","Analyze core parameters and hardware metrics for Fiber Optic Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for Network Topologies & Layer Models."
"","15","Fiber Optic Basics","3","IP Assignment & Subnet Calculation","Analyze core parameters and hardware metrics for Fiber Optic Basics."
"","","","","","Implement industry standards and configuration guidelines."
"","","","","","Commission and test loop integration for IP Assignment & Subnet Calculation."
"","15","Fiber Optic Basics","4","Switch Port Configuration & VLANs","Analyze core parameters and hardware metrics for Fiber Optic Basics."
